1;บางบอน;Bangbon;
2;บางกะปิ;Bangkapi;
3;บางแค;Bangkhae;
4;บางเขน;Bangkhen;
5;บางคอแหลม;Bangkholaem;
6;บางขุนเทียน;Bangkhunthian;
7;บางกอกน้อย;Bangkoknoi;
8;บางกอกใหญ;Bangkokyai;
9;บางนา;Bangna;
10;บางพลัด;Bangphlat;
11;บางรัก;Bangrak;
12;บางซัว;Bangsue;
13;บึงกุม;Buengkum;
14;จัตตุจักร;Chatuchak;
15;ชุมทอง;	Chomthong;
16;ดินแดง;Dindaeng;
17;ดอนเมือง;Donmueang;
18;ดูสิต;Dusit;
19;ห้วยขวาง;Huaikhwang;
20;คันนายาว;Khannayao;
21;คลองสามวา;Khlongsamwa;
22;คลองแสน;Khlongsan;
23;คลองเตย;Khlongtoei;
24;หลักสี่;Laksi;
25;ลาดกระบัง;Latkrabang;
26;ลาดพร้าว;Latprao;
27;มีนบุรี;Minburi;
28;หนองจอก;Nongchok;
29;หนองแขม;Nongkhaem;
30;ปทุมวัน;	Pathumwan;
31;ภาษีเจริญ;Phasicharoen;
32;พญาไท;Phayathai;
33;พระโขนง;Phrakhanong;
34;พระนคร;Phranakhon;
35;ป้อมปราบศัตรูพ่าย;Pomprapsattruphai;
36;ประเวศ;	Prawet;
37;ราษฏร์บูรณะ;Ratburana;
38;ราชเทวี;Ratchathewi;
39;สายใหม่;Saimai;
40;สัมพันธวงศ์;Samphanthawong;
41;สะพานสูง;Saphansung;
42;สาทร;Sathon;
43;สวนหลวง;Suanluang;
44;ตลิ่งชัน;Talingchan;
45;ทวีวัฒนา;Thawiwatthana;
46;ธนบุรี;Thonburi;
47;ทุ่งครุ;Thungkhru;
48;วังทองหลาง;Wangthonglang;
49;วัฒนา;Watthana;
50;ยานนาวา;Yannawa;
